Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015-11-02,54,6:31:00 AM,Monday,Eglinton yard,Mechanical,1,1,ob,7549
2015-11-02,96,6:38:00 AM,Monday,Thistledown and Albion,Late Leaving Garage,22,40,E,8453
2015-11-02,32,6:39:00 AM,Monday,GLENCEDAR AND EGLINTON,Mechanical,6,12,E/B,1046
2015-11-02,75,6:39:00 AM,Monday,Bloor and Sherbourne,Late Leaving Garage,6,18,N,8164
2015-11-02,32,6:40:00 AM,Monday,eglinton stn,Late Leaving Garage,5,10,w/b,1591
2015-11-02,195,6:45:00 AM,Monday,Jane/Steeles,Late Leaving Garage,10,20,S,1373
2015-11-02,111,6:45:00 AM,Monday,Eglinton and East Mall,Mechanical,12,24,sb,7307
2015-11-02,36,6:46:00 AM,Monday,Arrow Road Garage,Late Leaving Garage,5,11,W/B,9108
2015-11-02,53,6:49:00 AM,Monday,Passmore and Markham,Mechanical,13,26,w,1128
2015-11-02,29,6:50:00 AM,Monday,Dufferin and Bentworth,Investigation,8,16,s/b,9000
2015-11-02,198,6:50:00 AM,Monday,KENN,Late Leaving Garage,10,20,N,7463
2015-11-02,33,6:53:00 AM,Monday,Spadina and Eglinton,Diversion,30,30,S,8170
2015-11-02,191,6:54:00 AM,Monday,Royal Crest and Highway 27,Mechanical,5,10,n/b,8427
2015-11-02,116,6:55:00 AM,Monday,Kennedy Stn,Utilized Off Route,12,24,E,7412
2015-11-02,112,6:57:00 AM,Monday,International just east of Carlingview,Mechanical,15,30,nb,8033
2015-11-02,81,6:57:00 AM,Monday,Pape Stn,Mechanical,10,20,N/B,7769
2015-11-02,36,6:58:00 AM,Monday,Arrow Road Garage,Late Leaving Garage,5,10,W/B,9106
2015-11-02,79,7:00:00 AM,Monday,Entire Route,General Delay,10,20,B/W,
2015-11-02,24,7:00:00 AM,Monday,Victoria Park Station to Steeles,General Delay,30,40,B/Ws,
2015-11-02,33,7:00:00 AM,Monday,St. Clair W. stn to Bathurst,General Delay,10,20,BW,
2015-11-02,191,7:00:00 AM,Monday,Steeles to Kipling Station,General Delay,10,15,B/W,
2015-11-02,14,7:00:00 AM,Monday,Entire Route,General Delay,15,30,B/W,
2015-11-02,52,7:00:00 AM,Monday,Entire Route,General Delay,15,30,B/W,
2015-11-02,96,7:05:00 AM,Monday,Humberline Loop,Mechanical,22,44,E,1320
2015-11-02,75,7:08:00 AM,Monday,Queens Quay and Lower Jarvis,Utilized Off Route,9,20,N,8164
