,Location,Min Delay,delay_count
2834,Chistie & Dupont,360,
2835,ISLINGTON STN,12,
2836,Broadview Station,999,
2837,VP Station,6,
2838,Broadview and Erindale,975,
2839,Eglinton stn,10,
2840,Sheppard Station,16,
2841,Keele stn,10,
2842,Lawrence West / Corona,20,
2843,Brownsline/Rimilton,10,
2844,Victoria Park and Edge Park,9,
2845,Kennedy Stn,12,
2846,Dvenport & Spadina,1,
2847,47-Lansdowne route,12,
2848,Dufferin/Centre,382,
2849,161-Rogers route,12,
2850,Lawrence W Stn,20,
2851,Wilson stn to Springhurst loop,30,
2852,Sherbourne/Jarvis,293,
2853,63-Ossington route,12,
2854,Bay and Wellsley,300,
2855,Weston rd / Church,10,
2856,Berkely and The Esplanade,380,
2857,Gerrard route,15,
2858,Victoria Park Station,8,
2859,Birchmount and Ridgestop,20,
2860,Parliament Route,10,
2861,Finch Stn,6,
2862,Steeles and markham,6,
2863,Sherbourn Street,10,
2864,Sherbourn route,10,
2865,Sherbourn at Wellesley,10,
2866,Warden Stn,5,
2867,Lawrence and Birchmount,20,
2868,Entire Route,30,
2869,Route 26,24,
2870,Entire Route,10,
2871,Bathurst stn / Steeles,15,
2872,Finch Station,11,
2873,Main Station,10,
2874,Finch Station,8,
2875,Dundas and Islington,14,
2876,Heath street and Wellend,20,
2877,Adelaide & Bay,185,
2878,McNicoll av and Markham Rd,10,
2879,Wilson stn,4,
2880,Route 89,10,
2881,Wilson stn,36,
2882,Donmills Station,30,
2883,Victoria Park and Finch,1,
2884,Wilson at Weston,30,
2885,Eglinton Stn,16,
2886,Donmills station,6,
2887,Leslie - Yonge along Eglinton,10,
2888,Wilson Stn,4,
2889,Dundas,10,
2890,Islington stn,20,
2891,Malvern Garage,5,
2892,Meadowvale Loop,8,
2893,Tethewey and Black Creek,1,
2894,St. Clair and Lansdowne,1,
2895,Dufferin and Steeles,30,
2896,Vaughn and Jesmond,8,
2897,Downsview Stn,30,
2898,Main Stn,10,
2899,Pearson Airport  T3,13,
2900,Weston Rd/Jane,30,
2901,cliffside route,15,
2902,Weston  Road/Jane,30,
2903,Eglinton West Station,10,
2904,UFT Scarborough,17,
2905,Keele and Calvington,90,
2906,Keele and Calvington,90,
2907,Donmills/Overlea,6,
2908,Route 41,50,
2909,Castlefrank Stn,14,
2910,Downsview Stn,14,
2911,Warden stn.,10,
2912,Kipling station,10,
2913,Jane & Lawrence,110,
2914,Downsview stn,12,
2915,Wilson Station,5,
2916,kennedy stn.,20,
2917,Birchmount and Highview ave.,20,
2918,castlefrank stn.,7,
2919,Nugget and McCowan,1,
2920,Scarborough Center Station,10,
2921,weston rd and York,10,
2922,warden stn.,10,
2923,Davisville / Mt Pleasant,10,
2924,Evans & Kipling,10,
2925,Eglinton Station,1,
2926,Humberwood Loop,7,
2927,Ellesmere and Markham Rd,13,
2928,Eglinton Yard,10,
2929,Lawrence West Stn,20,
2930,Victoria Park and Ellesmere Rd,10,
2931,Warden and Eglinton,10,
2932,Keele St & Finch Ave W,10,
2933,Garratt and Gilley,30,
2934,silverdale/ york mills,30,
2935,main stn,10,
2936,Moringside and Lawrence,10,
2937,Kipling station,10,
2938,Faywood & Sheppard,20,
2939,Kennedy STN,10,
2940,Lawrence RT STN,20,
2941,Yonge & William Carlson Circle,5,
2942,Keele and Finch,9,
2943,Yonge and York Mills,8,
2944,eglinton/Warden,13,
2945,Steeles and McCowan,7,
2946,Davisville station,26,
2947,Royal York Station,10,
2948,garage / Evans and islington,9,
2949,,10,
2950,Main & Lumsden,12,
2951,Danforth Ave/Danforth Rd,1,
2952,Baldoon and Finch East,4,
2953,Morningside and Staines,4,
2954,yorkmills stn,24,
2955,Garage / Kipling stn,18,
2956,wilson and clayson,28,
2957,STEELES LOOP,15,
2958,Main Station,8,
2959,Signet and Steeles Ave W,10,
2960,Midland & Steeles,7,
2961,Eglinton stn,5,
2962,STEELES LOOP,7,
2963,EGLINTON STATION,5,
2964,McCowan Rd and Ellesmere Rd,7,
2965,Eglinton STN,1,
2966,Dufferin and Tycos,8,
2967,Rouge Hill GO,10,
2968,Dufferin and Bloor,8,
2969,Scarborough Loop U 0f T,9,
2970,Kipling stn,10,
2971,JNST,10,
2972,Kipling stn,9,
2973,Sheppard stn,30,
2974,York Mills stn,10,
2975,Princes gate,8,
2976,yorkmills stn,24,
2977,Ellesmere Rd and Kennedy Rd,7,
2978,Broadview STN,1,
2979,Springhurst loop,1,
2980,St.Clair Station,6,
2981,Finch/Westmore,5,
2982,Steeles loop at Martin grove,11,
2983,Rouge Hill Go stn,5,
2984,Finch Stn,7,
2985,Don Mills Stn,3,
2986,Don Mills Stn,5,
2987,Belsize and Cleveland,12,
2988,Albion & Wilson,5,
2989,Don Mills station,5,
2990,Downsveiw Station,4,
2991,STEELES LOOP,6,
2992,Pape & Danforth,8,
2993,Ranee route,10,
2994,Neilson and Crow Trail,4,
2995,Victoria Park and Ficn Ave East,20,
2996,VICTORIA PARK ROUTE,10,
2997,York Mills Station,7,
2998,Victoria Park and Parkwoods,7,
2999,Warden and Ellesmere,7,
3000,Lawrence and Duval,12,
3001,Downsview Station,4,
3002,Finch/Victoria Park,15,
3003,Ficn Route,15,
3004,Finch Express Route,10,
3005,JANE and PRITCHARD,10,
3006,Willowdale and cummer,24,
3007,Eglinton STN,10,
3008,Arrow Road Traffic Office,20,
3009,Broadview Stn,5,
3010,152 Upper Canada DR,1116,
3011,PINE and LAWRENCE,5,
3012,Broadview STN,6,
3013,Freshmeadow/Steels,6,
3014,St.Clair Station,1,
3015,Sheppard Station,12,
3016,South  Kodiak and Sheppard,32,
3017,Seneca Hill/ Don Mills,72,
3018,Donmills and Seneca Hill Dr,66,
3019,York Mills station,7,
3020,yorkmills stn,1,
3021,Woodbine Route,12,
3022,St.Clair west station,8,
3023,Warden Station,10,
3024,Lawrence West station,22,
3025,Spadina,6,
3026,Royal York Station,9,
3027,JNST,6,
3028,Steeles loop at Martin grove,6,
3029,McCowan Rd and Sheppard Ave E,10,
3030,VICTORIA PARK STATION,10,
3031,Wilson Stn,15,
3032,Downsview Stn,10,
3033,Fich and Middlfield,7,
3034,St.Clair west station,8,
3035,Bloor and Dundas St West,10,
3036,COL SAM LOOP,5,
3037,Downsview Stn,2,
3038,Lawrence Midland,6,
3039,York U,2,
3040,Victoria Park and Old Sheppard,10,
3041,Kipling stn,20,
3042,FSTN to STC,20,
3043,Warden Station,1,
3044,Dufferin and Geary,5,
3045,Kennedy STN,7,
3046,54-Lawrance Route,12,
3047,Route 15 Evans,1,
3048,Don Mills Stn,7,
3049,Mt Dennis Garage,1,
3050,Finch Station,5,
3051,FSTN,4,
3052,Downsview Stn,3,
3053,Finch Station,7,
3054,FSTN,4,
3055,Finch Station,1,
3056,Don Mills Stn,6,
3057,Don Mills Stn,9,
3058,FSTN,4,
3059,Scarborough Loop UofT,4,
3060,Route 79,15,
3061,McCowan Rd and Sheppard Ave E,4,
3062,Rouge Hill Go,12,
3063,Entire Route,25,
3064,Dolly Varden and Ellesmere,7,
3065,Entire 60 Steeles West Route,1,
3066,Islington stn,10,
3067,entire route,11,
3068,Entire route,15,
3069,34 Eglinton Route,19,
3070,Entire route,10,
3071,Keele stn,20,
3072,Route 47,10,
3073,Mortimer Route,15,
3074,Downsv Stn to all branches,1,
3075,Route 161,10,
3076,Cosburn Route,10,
3077,Seneca College,10,
3078,Sunnybrook Hospital Hees Wing,12,
3079,Exbury,5,
3080,Broadview/Bater,10,
3081,STC,9,
3082,Annette and Jane,14,
3083,Midland / Lockie Ave,14,
3084,Shoreham,5,
3085,Downsview Stn,8,
3086,Kennedy STN,4,
3087,Downsview stn,15,
3088,weston and lawrence,5,
3089,Lawrance and Warden,6,
3090,York U Commons,14,
3091,Downsview Stn,5,
3092,York U / Commons,7,
3093,STC,4,
3094,24 Victoria Park Route,1,
3095,FSTN to OFIN,20,
3096,Downsview Stn,2,
3097,Lawrence Station,6,
3098,Victoria Park Station,10,
3099,Scarborough Town Center,12,
3100,Warden STN,12,
3101,Steeles Loop,6,
3102,Downsview Stn,8,
3103,Broadview Station,6,
3104,Kipling at Steeles,14,
3105,Route 37 Islington.,20,
3106,Downsview Stn,13,
3107,W/B Morningside on Ellesmere,12,
3108,Kennedy Station,5,
3109,Weston and Vero Beach Blvd.,7,
3110,Martin Grove and Royal Crest,5,
3111,Van Horne and Brian Dr.,10,
3112,KPSN - SKYM - RNCV,30,
3113,Kipling Station -Disco rd - Steeles,15,
3114,Jesmond and Vaughan,5,
3115,Entire Symington Route,15,
3116,warden stn.,10,
3117,Bloor & Runnymede,6,
3118,Downsview Stn,2,
3119,Weston rd and Humber blvd,7,
3120,Huntingwood and Brimly,30,
3121,Islington stn,19,
3122,Godstone Rd and Donmills Rd,4,
3123,62 Mortimer,1,
3124,Winona,5,
3125,Pape Stn,10,
3126,Eglinton ave. west Weston Road,8,
3127,Downsview Stn,2,
3128,Finch Station,12,
3129,Midland/Eglinton,3,
3130,Rogers & Silverthorn,11,
3131,Dufferin/Lawrence,4,
3132,Islington stn,8,
3133,Pine and lawrence,5,
3134,Lawrance RT station,10,
3135,warden stn.,9,
3136,bellamy / eglinton.,17,
3137,St. Clair west station,1,
3138,Bathurst Station,1,
3139,Victoria Park and Steeles,10,
3140,Wilson,5,
3141,Kingston Rd and Pickering Street,47,
3142,Martin Grove and Steeles,12,
3143,Runnymede Loop,10,
3144,Kipling at Dixon,9,
3145,Tiffield and Finch,8,
3146,The Commons,4,
3147,Dufferin/Brandon,6,
3148,Neilson and Crow  Trail,9,
3149,St. Clair and Birchmount,22,
3150,Queens quay and Dock side,24,
3151,Finch and Driftwood,35,
3152,Eglinton and Brentcliffe,10,
3153,Silver spring blvd.and Birchmount rd.,17,
3154,Sheppard Stn.,10,
3155,Bayview and Finch,9,
3156,Neilson and Crow Trail,9,
3157,Irwin Ave & Young St,1,
3158,Village gate and Steeles,30,
3159,Avon Loop,10,
3160,Carlaw  & Commissioner,12,
3161,Morningside and Morningview,3,
3162,FreshMeadow,3,
3163,Passmore and markham,8,
3164,Pape Stn,8,
3165,Islington/Evans,10,
3166,JSTE,10,
3167,Warden stn,4,
3168,Ellesmere SRT,7,
3169,MAIN STATION,8,
3170,Duncan Mills,3,
3171,Keele Station,11,
3172,Meadowvale & 401,10,
3173,Kennedy Station,4,
3174,JSTE,10,
3175,Martin grove and Royalcrest,5,
3176,York Mills and Don Mills,3,
3177,Kennedy Station,10,
3178,Islington/Steeles,10,
3179,Martin grove and Royalcrest,4,
3180,Downsview stn,16,
3181,Sheppard Stn.,9,
3182,York University Commons,4,
3183,Main Station,5,
3184,Finch stn,11,
3185,EGLINTON and KANE,11,
3186,Ncnicoll and Victoria,10,
3187,St.Clair loop,4,
3188,Runnymede Station,9,
3189,Sheppard Stn,17,
3190,Neville Loop,20,
3191,Royal York/Evans,1,
3192,Royal York/Evans,421,
3193,Major Mackenzie,20,
3194,KIPLING STN,22,
3195,Downsview stn,2,
3196,Downsview stn,3,
3197,Finch stn to McCowan,12,
3198,Silver Bell/Humber College,15,
3199,Finch to McCowan,10,
3200,Avenue rd and Yorkville,22,
3201,Finch,3,
3202,Finch Station,10,
3203,Davisville stn,12,
3204,Steeles Loop to Warden stn,20,
3205,Davisville stn,12,
3206,Brimley and Eglinton,17,
3207,Pape Ave - O'Connor,3,
3208,Evans/Carnarvon,330,
3209,JNST,20,
3210,Eglinton - Pharmacy,4,
3211,Downsview stn,3,
3212,Don Mills/Overlea,14,
3213,Warden Station,20,
3214,Steeles and Bayview,5,
3215,Sherway Gardens,12,
3216,St.Clair Station,1,
3217,All Locations,15,
3218,Kennedy Station,10,
3219,Main Stn,10,
3220,KIPLING STN,10,
3221,Royal York Station,9,
3222,KIPLING STATION,4,
3223,Eglinton & Dufferin,1,
3224,Caledonia & Eglinton,1,
3225,Kennedy Stn,11,
3226,Dufferin and Stanstead,2,
3227,Finch Pharmacy,7,
3228,Steeles and Kennedy,5,
3229,Steeles and Pharmacy,24,
3230,Kennedy Station,17,
3231,Davisville Station,12,
3232,St.Clair Station,30,
3233,St.Clair Station,30,
3234,Lawrence Victoria Park rd,6,
3235,Downsview Stn,3,
3236,Ranee Route,15,
3237,Between Donmills and Victoria Park,,
3238,Warden and Ellesmere,10,
3239,Townsley Loop,20,
3240,Forest Hill route,15,
3241,54-Lawrance Route,16,
3242,markham and mCcowan,7,
3243,Bathurst and Wilson,5,
3244,Lawrance and Donmills,6,
3245,Lawrance and Pharmacy,6,
3246,warden stn.,20,
3247,Don Mills Stn,7,
3248,Maple Leaf,5,
3249,Finch Station,4,
3250,lawrence Station,7,
3251,ScarB Town Ctr Stn,5,
3252,Finch station,4,
3253,Morningside & Lawrence,5,
3254,Eglinton garage,7,
3255,Don Mills Stn,9,
3256,Finch Station,4,
3257,Downwsview  Stn.,15,
3258,Downsview Stn,10,
3259,St. Clair West Stn,15,
3260,McCowan @ Triton,12,
3261,Don Mills Station,4,
3262,Passmore and Markham Road,5,
3263,Chalkfarm,5,
3264,Entire 60 Steeles West Route,15,
3265,Downsview Stn,3,
3266,Aldwych and Pape,3,
3267,"Arrow Garage,",10,
3268,Springhurst loop,5,
3269,Finch Station,7,
3270,Sheppard W/O Lapsley,6,
3271,Scarb Town Ctr Stn,4,
3272,Passmore and Markham Road,4,
3273,Bathurst North Route,20,
3274,Eglinton Station,1,
3275,Eglinton Station,20,
3276,Sutherland Dr.,15,
3277,Weston Rd,8,
3278,Wilfred and Finch,4,
3279,Finch Station,11,
3280,Pape Station,3,
3281,warden stn.,22,
3282,Davisville Station,12,
3283,Entire Route,10,
3284,Entire Route,25,
3285,Sheppard to Queens Quay,25,
3286,8 Broadview Route,1,
3287,Signal Hill and Steeles,7,
3288,Dixon and Roxaline,13,
3289,STC,4,
3290,emmett,8,
3291,Dupont and Davenport,10,
3292,Neilson and Crowtrail,5,
3293,Kennedy Stn,12,
3294,Kipling at Norseman,4,
3295,Wellington and York,20,
3296,Steeles to Kipling Station,15,
3297,Humberwood to Finch Station,15,
3298,24 Victoria Park Route,1,
3299,94 Wellesley,1,
3300,87 Cosburn Route,1,
3301,Cherry St route,30,
3302,Cummer route,20,
3303,Bloor and Symington,15,
3304,University from Richmond to Queens Park,15,
3305,62 Mortimer Route,1,
3306,Kipling Station,10,
3307,the Commons,9,
3308,pine and lawrence,8,
3309,Humber and College and Humberline,7,
3310,Finch Station,11,
3311,York Mills Station,8,
3312,Keele and Junction,9,
3313,Sherbourne and Lake Shore,7,
3314,Hwy 27 and Queens Plate,5,
3315,Kingstone and Guildwood GO,10,
3316,Leslie,16,
3317,Dundas West stn,10,
3318,Main stn.,20,
3319,Pharmacy and Sheppard,30,
3320,Lawrence W. stn,12,
3321,Victoria Park and Steeles,7,
3322,lawrance / birchmount.,12,
3323,Finch Station,12,
3324,Lawrence station,12,
3325,Gateway/Don Mills,10,
3326,Markham and Eglinton,10,
3327,STC STN,12,
3328,Eglinton west station,10,
3329,York Mills and Harrison,30,
3330,Yonge and York Mills,30,
3331,Victoria Park at Sheppard,10,
3332,Lawrence Station,3,
3333,Sheppard Station,13,
3334,Sheppard Station,3,
3335,Woodbine and Gerrard,15,
3336,Eglinton Station,3,
3337,Middle field loop,1,
3338,Morningside and Nightstar,10,
3339,Eglinton yard,1,
3340,Eglinton Yard,1,
3341,TRETHEWEY and EGLINTON,6,
3342,Birchmount and Steeles,6,
3343,Kennedy station,14,
3344,YORKDALE RD and DUFFERIN,12,
3345,Pharmacy - Rannock,26,
3346,Kipling Station,18,
3347,Kennedy Stn,6,
3348,Finch Baldoon,4,
3349,Lansdowne and Dundas,120,
3350,Finch warden,5,
3351,Finch Ave and Weston Rd.,7,
3352,Kennedy - Passmore,10,
3353,York Mills Station,22,
3354,JANE and LAWRENCE,6,
3355,Faywood and Sheppard,15,
3356,Dufferin and Rogers,8,
3357,Middlefield and Steeles,3,
3358,Eglinton Station,13,
3359,Queen and Lansdowne,18,
3360,Finch Stn,4,
3361,Downsview stn,7,
3362,Steeles and McCowan,4,
3363,EGLINTON and KEELE,5,
3364,Royal York Station,4,
3365,Eglinton and Don Mills,3,
3366,St.Clair west station,4,
3367,JSTE,10,
3368,SKYMARK and EGLINTON,5,
3369,Donlands Station,12,
3370,Martin grove and Royalcrest,5,
3371,Highland Creek Bridge,18,
3372,Don Mills - Eglinton,13,
3373,Passmore and markham,5,
3374,York University Commons,4,
3375,South Leaside,20,
3376,JSTE,10,
3377,Wilson Ave And Keele St.,6,
3378,Belsize and Cleveland,13,
3379,EVANS & ROYAL YORK,85,
3380,Wilson stn,13,
3381,CASTLE FRANK STATION,7,
3382,Sheppard Station,30,
3383,Ranee route,10,
3384,Downsview stn to Dufferin and Major Mackenzie,15,
3385,Finch Station,7,
3386,Don Mills station to Rouge Hill GO,20,
3387,DANFORTH/BIRCHMOUNT,13,
3388,King and Shaw,5,
3389,Cordella and Cliff,9,
3390,Ranee route,10,
3391,VP ROUTE,10,
3392,Bayview and Millwood,14,
3393,Avenue rd and Yorkville,16,
3394,Eglinton to Townsend/Freshmedow,26,
3395,York University Commons,3,
3396,Steeles at Bathurst Street,7,
3397,COSBURN ROUTE,15,
3398,Finch station,5,
3399,Forest Hill,5,
3400,Wilson stn,1,
3401,Downsview stn,3,
3402,Downsview stn,3,
3403,STC,10,
3404,Tapscott and Washburn Way,7,
3405,STC,4,
3406,Scarborough Town Centre,26,
3407,ISLINGTON STN,18,
3408,EGLINTON and ORION PARKWAY,10,
3409,STC,2,
3410,Sheppard,21,
3411,St.Clair Station,1,
3412,Dufferin and Gordon,4,
3413,KIPLING STATION,10,
3414,Eglinton & Markham,6,
3415,Bloor at Sherbourne,6,
3416,Steeles and Pharmacy,5,
3417,Eglinton west stn,9,
3418,Lawrence McCowwan,6,
3419,Keele Station,10,
3420,All Locations,15,
3421,Humberwood loop,5,
3422,Old Finch and Morningview Trail,13,
3423,Kenendy Stn,10,
3424,Lawrence west station.,15,
3425,Eglinton and Falmouth,30,
3426,Marin Grove and Albion,15,
3427,Finch station,5,
3428,Wilson and Clayson,7,
3429,DAVISVILLE STN,10,
3430,Pharmacy Craigton,18,
3431,Centennial College,20,
3432,Downsview Stn,2,
3433,Coxwell Danforth ave,9,
3434,Entire 60 Steeles Ave West Route,15,
3435,Downsview Stn,2,
3436,Kennedy Station,10,
3437,Skymark,10,
3438,Downsview Stn,2,
3439,Steeles Ave West and Keele St,120,
3440,Eglinton W. stn to Neptune and Bathurst,12,
3441,Rivermede and Langstaff,32,
3442,KIPLING STATION,10,
3443,EXPLORER AND EGLINTON AVE W,20,
3444,York U,3,
3445,Don Mills Stn,27,
3446,54-Lawrance Route,17,
3447,Eglinton Stn,7,
3448,Don Mills Stn,7,
3449,Kennedy & Lawrence,10,
3450,finch station,4,
3451,Finch Station,4,
3452,Jane & Foxwell,17,
3453,McCowan & Commander,2,
3454,,4,
3455,Finch station,4,
3456,Downsview Stn,3,
3457,Don Mills Stn,9,
3458,Finch and Arrow,5,
3459,Garage / Mill rd loop,15,
3460,Scarborough Town Centre,12,
3461,Finch and Weston,8,
3462,Glencairn,5,
3463,Gargae / Islington stn,10,
3464,ST Basil School,5,
3465,Goulding and Cactus,13,
3466,Warden Stn,3,
3467,Steeles to Kipling Station,20,
3468,Downsview Stn to all branches,1,
3469,Wilson stn to Atkinson,15,
3470,Humberwood to Finch Station,20,
3471,JSTE,5,
3472,Lawrance and Warden,5,
3473,Pine & Lawrence,12,
3474,Downs Stn,6,
3475,Downsview stn,8,
3476,Dixon rd / Martingrove,13,
3477,Morningside and Staines,7,
3478,St. Clair Stn,15,
3479,Yourk U Commons,13,
3480,Don Mills and Gateway,20,
3481,Cosburn Route,10,
3482,Entire Route,10,
3483,Mortimer Route,17,
3484,Ossington Station,15,
3485,Davenport and Dupont,10,
3486,Mt. Dennis Garage,23,
3487,Eg. West stn,8,
3488,York U Commons,13,
3489,Terminal 1,11,
3490,York U Commons,13,
3491,Don Mills Route,13,
3492,Finch Stn to Maybrook and Passmore,15,
3493,Eglinton to Broadview,20,
3494,Entire Route,30,
3495,Entire Route,5,
3496,Eglinton to Kennedy,20,
3497,Lawrence west / Jane,11,
3498,Keele st,15,
3499,8 Broadview Route,1,
3500,Eglinton to Yorkmills,18,
3501,Emmet and Hospital,8,
3502,Castle Frank Station,7,
3503,91A Route,14,
3504,King and Atlantic,1,
3505,St. Clair W. stn,5,
3506,Keele stn,8,
3507,Morningside Ellesmere,10,
3508,Kipling stn,22,
3509,Wynford and Don Mills,3,
3510,Markham RD route,15,
3511,Silver Hills route,20,
3512,Bellamy Route,15,
3513,Graydon hall route,20,
3514,Jarvis and Queens Quay,7,
3515,Pape Station,3,
3516,Davisville Station,12,
3517,Scarborough RT to Morningside and Staines,1,
3518,Springhurst Loop,1,
3519,Eglinton station to Laird,10,
3520,Eglinton and Markham rd,257,
3521,Bayview and Eglinton and Leslie and 401,16,
3522,94 Wellesley Route,1,
3523,24 Victoria Park Route,1,
3524,Prince Edward and Bloor,15,
3525,Sheppard and Beaman,8,
3526,Kipling Station,8,
3527,Pape Station,3,
3528,Kipling Station,5,
3529,Bingham Loop,15,
3530,Downsview Station to Commons,25,
3531,sheppard Stn. To Commons via Downveiw,25,
3532,Finch @ Briddletowne E,29,
3533,Finch @ Briddletowne E,21,
3534,Finch at Bridletowne East,28,
3535,Kipling station,8,
3536,Kipling at Ronson,15,
3537,Col sam smith Loop,6,
3538,Warden Stn,20,
3539,Brownsline and Woodbury,18,
3540,Finch and Halesia,7,
3541,Coxwell and Danforth,10,
3542,Don Mills Road and Cliffwood South,5,
3543,Kennedy STN,10,
3544,Col Sam Smith Loop,9,
3545,Bathurst St. & Steeles Ave West,11,
3546,Malvern Garage,7,
3547,Humberwood Loop,9,
3548,Kipling at Genthorn,10,
3549,Sheppard and Dean Park,34,
3550,Finch Ave West on Young St.,3,
3551,Bingham loop,30,
3552,Eglinton west station,1,
3553,Dundas West Station,14,
3554,Kipling Stn,9,
3555,Eglinton yard,1,
3556,LAWRENCE and YONGE,6,
3557,Passmore and Markham,4,
3558,Danforth rd and Danforth ave,15,
3559,Yonge Street and Lawrence Ave.,15,
3560,Keele and Finch,18,
3561,Passmore and Markham,5,
3562,Royal York Station,13,
3563,JNST,5,
3564,Duncan Mills and Don Mills,3,
3565,Pape Station,3,
3566,Finch/Ardwick,10,
3567,Kennedy Stn,7,
3568,Don Mills stn,1,
3569,Pape stn,3,
3570,CHJA,13,
3571,Ellesmere R. T. Station,8,
3572,Finch Station,7,
3573,Brimley & Steeles,7,
3574,Martin Grove Rd. and Royal Crest Rd.,4,
3575,Kennedy Stn,5,
3576,Downsview stn,7,
3577,JSTE,24,
3578,Downsview Stn,18,
3579,Downsview stn,30,
3580,Don Mills - Eglinton,13,
3581,DonMills stn,1,
3582,Finch station  36D to 36F,12,
3583,Downsview stn,7,
3584,Eglinton stn,20,
3585,Scarborough Town Centre,3,
3586,Kennedy Station,10,
3587,Bloor at Sherbourne,6,
3588,Eglinton stn,10,
3589,Ossington and Davenport,40,
3590,Passmore and Markham,5,
3591,Neville Loop,20,
3592,Drewry Route,10,
3593,Davenport rd/OssingtonAve,30,
3594,Broadview - Torrens,13,
3595,Davenport and Dovercourt,5,
3596,Warden Station,10,
3597,Warden Station,10,
3598,Eglinton  Victoria park,10,
3599,Signal Hill,7,
3600,Don Mills Eglinton,5,
3601,York Mills Ness,10,
3602,Kingston Road & Victoria Park,10,
3603,Westbourne and Rivermede,38,
3604,Westburne and Rutherford,18,
3605,Eglinton stn to Elm ave,16,
3606,Eglinton stn to Townsend,20,
3607,COSBURN ROUTE,15,
3608,Davisville stn to Steeles,16,
3609,VP ROUTE,10,
3610,Jane/HWY 407,10,
3611,Lansdowne and Dupont,366,
3612,Finch between Victoria Park and Donmills,4,
3613,Donmills and Finch,4,
3614,Eglinton stn,10,
3615,Eglinton stn,16,
3616,Finch station,11,
3617,Finch Station,3,
3618,Downsview stn,3,
3619,Kipling station,6,
3620,York University Commons,7,
3621,Donway,15,
3622,Wilson stn,4,
3623,Kingston rd and Parkcrest,10,
3624,Davenport rd /Oakwood Ave,12,
3625,Eglinton stn,8,
3626,Kingston & Guildcrest,10,
3627,St.Clair Station,1,
3628,Lawrence McCowan,6,
3629,Woodbine downs & Carrier,6,
3630,91A Route,13,
3631,pape station,6,
3632,ISLINTON STATION,18,
3633,Entire Route,10,
3634,Downsview Stn,30,
3635,Neilson at Milner Ave,10,
3636,Downsview Stn,2,
3637,Tisdale - Pharmacy,134,
3638,York U commons,13,
3639,Finch Stn,20,
3640,Downsview Stn,3,
3641,Bathurst Stn,7,
3642,Lawrence Victoria park,8,
3643,Birchmount and danforth Rd,11,
3644,Warden Stn,20,
3645,Sheppard Stn,10,
3646,Broadview Station,6,
3647,Earlscourt Loop,15,
3648,Pape stn,6,
3649,Parklawn and Queensway,15,
3650,Broadview Stn,10,
3651,Neilson and Crow trail,4,
3652,Cosburn Route,10,
3653,Mortimer Route,15,
3654,54-Lawrance Route,17,
3655,ENTIRE ROUTE,15,
3656,spadina stn,20,
3657,Ellesmere & Conlins Rd.,15,
3658,Kennedy Station,16,
3659,Don Mills Stn,7,
3660,STC,4,
3661,Meadowvale and Ellesmere,95,
3662,Pine and Lawrence,18,
3663,Foreman and Eglinton,4,
3664,Finch Station,4,
3665,Scarb Town Ctr,4,
3666,Entire 59 Maple Leaf Route,10,
3667,Pharmacy and Denton,55,
3668,Don Mills Stn,9,
3669,Finch Station,4,
3670,Morningside and Lawrence,6,
3671,Eglinton Garage,1,
3672,Dufferin & Steeles,3,
3673,Entire Route,12,
3674,St. Clair station,15,
3675,Warden Stn,3,
3676,Downsview Stn,3,
3677,entire route,5,
3678,Downsview Stn,1,
3679,Keele street,12,
3680,Entire Route,11,
3681,Sheppard/Dufferin,3,
3682,Morningside and Lawrence,6,
3683,Finch Station,7,
3684,Dufferin/Finch,3,
3685,Arrow garage,10,
3686,Lambton and Jane,11,
3687,Entire route,10,
3688,Lebovic and Eglinton,4,
3689,Birchmount Garage,8,
3690,Wilson and Keele,7,
3691,Birchmount garage,9,
3692,Signal Hill and Steeles Ave West,7,
3693,Warden Station,10,
3694,Entire 60 Steeles West Route,17,
3695,Lawrence West  Ave / Weston rd,11,
3696,Downs Stn,6,
3697,Kipling Station,5,
3698,Victoria Park Station,15,
3699,Lawrance RT station,10,
3700,Lawrence west stn,11,
3701,Runnymede Stn,11,
3702,Bayview Eglinton to Yorkmills,20,
3703,Eglinton to Broadview,18,
3704,Steeles to Kipling Station,15,
3705,8 Broadview Route,1,
3706,Steeles to Teston,30,
3707,Eglinton to Kennedy,20,
3708,St. Clair Station to Thorncliffe Park Dr.,15,
3709,Humberwood to Finch Station,25,
3710,Redpath and Eglinton,4,
3711,Steeles to Queens Quay,20,
3712,Yates Castle,22,
3713,Finch Station,11,
3714,Lawrance RT station,10,
3715,Main Stn,8,
3716,Entire route,15,
3717,Yates Castle,22,
3718,Parliament and Bloor,7,
3719,Bayview,16,
3720,York Mills and Bayview,16,
3721,Scar Town,7,
3722,McCowan and MajMac,17,
3723,York U Commons,7,
3724,Weston and Finch,8,
3725,Eglinton Station,18,
3726,Bloor and Symington,12,
3727,Queen's Park to 401,20,
3728,Royal York stn,5,
3729,Dixon and Roxaline,20,
3730,24 Victoria Park Route,1,
3731,94 Wellesley Route,1,
3732,Jarvis and Queens Quay,7,
3733,WestMall crest at Dundas,17,
3734,West Mall Crest just west of West Mall,16,
3735,Millwood and Overlea,68,
3736,Old Kennedy Rd and Steels Ave,10,
3737,earlsdale and oakwood,6,
3738,Passmore and Markham Rd,11,
3739,weston and Dennis Avenue,11,
3740,St Clair and Caledoina,14,
3741,Finch Station,20,
3742,Victoria Park,29,
