,Location,Min Delay,delay_count
822,WELLESLEY ROUTE,15,
823,Don Mills,30,
824,Eglinton stn / Church,11,
825,Bathurst north route,10,
826,Eglinton stn / Donland stn,8,
827,Eglinton / Church,8,
828,Duncan Mills,35,
829,Eglinton - Hakim,59,
830,oakwood loop,10,
831,Yonge st at Athabaska Ave,11,
832,GRAND AVE & PORTLAND,30,
833,ROYAL YORK STATION,5,
834,wilson at jethro,19,
835,Concorde Place Cul de sac,6,
836,Sheppard Stn to Rouge Hill Go,15,
837,Jones Route,30,
838,belfield and hwy 27,2,
839,TC-Warden,13,
840,Don Mills station,6,
841,Eglinton Station,4,
842,Ilington/Rexdale,9,
843,Farnboro and HWY 27,4,
844,Broadview Stn,10,
845,Entire 108 Downsview,1,
846,St.Clair,5,
847,Markham Rd-Steeles,18,
848,Terminal 3,9,
849,St. Clair and Oakwood,6,
850,Sheppard-Yonge Station,30,
851,Broadview Stn,7,
852,jane stn,10,
853,Victoria Park Stn,8,
854,Malvern Garage,14,
855,Avon Loop,12,
856,Kennedy Station,10,
857,Lawrence E RT,6,
858,Freshmeadow & Don Mills,10,
859,humberwood loop,4,
860,Freshmeadow & Don Mills,12,
861,Kipling stn,13,
862,McCowan & Lawrence,30,
863,lawerence and mccowen,30,
864,Yonge & Finch,4,
865,QUEEN AND LANSDOWNE,15,
866,Tapscott just n. of Newgale Gate(C.P. Rail Crossing),81,
867,Sheppard loop,1,
868,Midland Steeles,10,
869,Lawrence stn,3,
870,Mill Road Loop,10,
871,Eg;linton Garage,4,
872,Eglinton Garage,10,
873,Rutherford,38,
874,Wilson / Transit Rd.,13,
875,Kennedy Station,1,
876,Long Branch Loop,13,
877,Bathurst and Wilson,6,
878,Rouge Hill GO,1,
879,Downsview stn,8,
880,Finch Station,11,
881,Eglinton Garage,10,
882,Kipling Station,21,
883,Princes gate,4,
884,Sheppard Stn,17,
885,Collins and Ellesmere,8,
886,Finch Stn,7,
887,Princes gate,4,
888,humberwood lp,5,
889,Woodbinedowns and Carrier Dr.,15,
890,finch stn,7,
891,Signet and Steeles,10,
892,Don Mills station,6,
893,STC,3,
894,York Mills Station to Kingston Rd Loop,1,
895,Lawrence stn,6,
896,finch stn,7,
897,Scarb. Town Centre,14,
898,LAKESHORE AND MARINE PARADE,15,
899,Finch stn,7,
900,Jane and Finch,20,
901,Downsview stn,2,
902,Birchmount route,10,
903,Markham Road route,10,
904,York Mills stn to Bannatyne,15,
905,York Mills stn to Roywood,20,
906,Don Mills Eglinton,5,
907,York Mills Ness,1,
908,finch Station,5,
909,87 Cosburn Route,1,
910,Entire 60 Steeles West Route,15,
911,62 Mortimer Route,1,
912,Bayview and Eglinton and Leslie and 401,17,
913,Dufferin and Steeles,6,
914,Downsview stn,3,
915,Islington and Dundas,7,
916,Morningview Trail and Old Finch,9,
917,vp route,8,
918,Downsview,3,
919,Eglinton/Foreman,4,
920,Markam Eglinton,12,
921,Bayview and Lawrence,23,
922,Uptown and Hwy 7,40,
923,Scarborough Golf club and Kingston rd.,11,
924,Bayview and Lawrence,8,
925,Laird/Eglinton,19,
926,83 Jones Route,1,
927,Entire line STC to Maj Mac,15,
928,Tretheway Drive and Jane,7,
929,McNaughton / Keele,1020,
930,Downsview Stn,3,
931,Dufferin and Dundas,4,
932,WEBR,9,
933,Wilson stn,4,
934,sheppard stn,9,
935,Townsley loop,20,
936,Wilson Stn.,15,
937,McCowan & Kenneth,4,
938,RHGO loop,13,
939,Lawrence Station,8,
940,Downsview Stn,20,
941,Kennedy Stn,7,
942,YorkMills and Scarsdale area,15,
943,Kingston Road & Midland,13,
944,Main Street Route,10,
945,Keele Nth Rte,32,
946,Dawes Route,10,
947,Cosburn Route,10,
948,Mortimer Route,22,
949,ENTIRE ROUTE,18,
950,54-Lawrance Route,17,
951,Eglinton - Brentcliffe,7,
952,the Commons,2,
953,Downsview Stn,3,
954,Bayview and Steeles,9,
955,Downsview Station to all branches,1,
